"ID","Type","Name","Documentation"
"c7034576-cbb0-4a2c-98dc-8d2f7687a612","ArchimateModel","casestudy10_similarity structure",""
"0e85bb10-b956-4c7a-b5b2-1ed9a2fa693d","BusinessActor","Airline employees","Employees who works for specific airlines and provide administative support like verifying travel document, passport and issuing boarding pass
"
"d53e662f-d3fd-4eb2-9b79-4557f3fa6950","BusinessActor","Car driver","One who drives car or taxi"
"b5f3c666-14bd-4f96-9cce-7acb90f6a9ff","BusinessActor","Custom officials","The govenerment officer who enforces customs laws."
"07d464b9-c9c2-41d5-ae9f-2929f26df5ad","BusinessActor","Military forces",""
"fcb15e82-f4ae-4fd8-943d-1a33139a2470","BusinessActor","Officials","Officials employyed by airport verifies passport and other documents. They also questions passengers about the purpose of travel. "
"518a21a0-9bf7-480c-a33c-37a3a7f64703","BusinessActor","Passengers","Passengers are the one who travells."
"55891445-152a-4b95-a5f9-3aed5ebd7f8c","BusinessActor","Security guards"," Security guards emplyeed by airport checks passengers security."
"afec1dff-8199-4a1b-a28b-7c430cc1eca9","BusinessActor","Visitors","Visitors can be friends, family or tourists"
"8b46b05a-f4d5-4a64-8ec6-6cc793822d16","BusinessEvent","Proceed to boarding",""
"312b72b9-ec92-40dc-82d4-a421e2314297","BusinessEvent","proceed to checkin",""
"39d09beb-c3cb-4ac3-9a49-92a423584627","BusinessEvent","Proceed to Immigration",""
"158f80e2-5f43-439f-8e1f-acf125c8d4e3","BusinessEvent","Proceed to International waiting hall",""
"10bcbf50-bf79-46a6-a03a-c50c171d5c81","BusinessFunction","Baggage Drop-off","Passengers hands over baggage whic is checked by the airport security."
"0bd44810-6075-4ad9-ad1d-31d3c0d19c44","BusinessFunction","Baggage handelling","Passengers can drop their baggage at checkin counters and pay extra fees for excess baggage. Passengers receives tags to put foor cabin bags"
"f46b9da1-64fd-47f0-bccf-d7c3e92a288d","BusinessFunction","Boarding to airplane","After waiting in loungue, passengers moves to respective boarding gates. Airline employees check for the individual boarding pass. Passengers may then take bus to board flights.  "
"bb8a572b-8490-4f27-a717-b23a8b47add8","BusinessFunction","Check for explosives",""
"5a88ffb7-2b27-47da-9fc0-82361da4b70c","BusinessFunction","checkin service by emplyees","Airline employees checks passport and flight ticket and issues boarding pass and also they provide services like change of reservations, meals, seat selection etc. "
"3a0e233f-9873-46ad-a13e-3e4ebb8d3898","BusinessFunction","Checking boarding pass",""
"25dfb6e3-3730-4452-bb41-62b4b3bb9477","BusinessFunction","controlling flow of electronic goods",""
"d818a569-bcc3-4d4a-aa65-b087b904134e","BusinessFunction","controlling flow of food items",""
"20eba632-0f6a-400d-8bbf-09b40bb9e240","BusinessFunction","Customs","Passengers goes through customs where cusom officials/ military forces are responsible in controlling flow of electronic goods and food items to another country."
"43b373fd-b4b8-42d2-bd33-37788ff86549","BusinessFunction","Document verification","Officials check for passenger passport and does verification and crosscheck of documents. Passengers undergo Biometric verification. Officials may ask some question regarding purpose of travel to the passengers."
